算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,5.770000,68.120151,0.000035
cluster,4.000000,65.720536,0.000534
LCB_max,5.230000,67.390370,3.482541
improvement,2.530000,65.011424,0.467216
SAA,2.180000,64.949411,33.551861
mixed,1.290000,64.906574,4.142698
