算法名称,平均优化结果,标准差(std),平均用时(秒)
SAA_100k,51.68522070747757,0.01874038931481767,0.012587148700125303
SAA_1m,51.682838863490524,0.0059247302848944436,0.11420297519989617
SAA_12m,51.683199043621464,0.0020416154044099162,1.1342602861997269
CTO,51.68267274040941,0.0006174380469535205,1.1273801077665364
#random_50_8
SAA_100k,57.25984434771832,0.013192369950016795,0.012440421733056912
SAA_1m,57.254213982391,0.00422568446386946,0.11394982906652634
SAA_12m,57.2542273506222,0.0013769175681059749,1.132046980833305
CTO,57.25417966596763,0.0005309202764469103,1.0701691884667526
#worst_50_8
SAA_100k,56.822780674899214,0.014735294509639204,0.012067734266687087
SAA_1m,56.821536987681974,0.0050770342122485315,0.11469172810003177
SAA_12m,56.82173218855778, 0.0012959579641833206, 1.134189055366672
CTO,56.82199581653648, 0.0005695187396275015, 1.410393941700022
