算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,3.980000,43.372437,0.000031
cluster,4.930000,44.388609,0.000599
LCB_max,6.000000,49.142887,3.526224
improvement,3.070000,43.077294,0.574257
SAA,1.390000,42.541718,36.118295
mixed,1.630000,42.567010,4.536641
