算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,6.000000,50.890103,0.000085
cluster,5.000000,50.769171,0.000463
improvement,4.000000,50.163390,0.093582
SAA,1.730000,49.542046,7.380114
CTO_mult,1.270000,49.505989,0.757477
CTO_indep,3.000000,49.700433,0.850036
