算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,3.670000,55.546614,0.000024
cluster,4.920000,56.321430,0.000282
LCB_max,5.920000,57.964484,0.782247
improvement,3.100000,55.281932,0.028079
SAA,1.520000,55.059183,3.944954
mixed,1.870000,55.064236,0.869566
