算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,4.760000,66.997869,0.000055
cluster,4.470000,66.829279,0.000430
LCB_max,5.770000,67.630012,3.734047
improvement,1.990000,66.102936,0.209288
SAA,2.360000,66.103369,17.637334
mixed,1.650000,66.072603,4.475312
