,算法名称,平均名次,平均优化结果,平均用时(秒)
0,smallest,3.880000,46.117545,0.000037
1,cluster,4.890000,46.958276,0.000611
2,LCB_max,6.000000,51.020900,2.125561
3,improvement,3.210000,45.774924,0.243856
4,SAA,1.530000,45.123087,21.470402
5,mixed,1.490000,45.126716,2.520933
