算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,5.750000,68.599959,0.000054
cluster,4.060000,66.970837,0.000414
LCB_max,5.130000,67.868208,2.357469
improvement,2.590000,66.439135,0.097725
SAA,1.820000,66.348565,11.292182
mixed,1.650000,66.343133,2.568635
