算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,5.730000,68.164916,0.000034
cluster,3.960000,65.892131,0.000517
LCB_max,5.270000,67.592625,2.157434
improvement,2.830000,65.470859,0.213423
SAA,1.630000,65.283040,20.873082
mixed,1.580000,65.288619,2.449894
