算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,3.160000,63.699907,0.000032
cluster,4.950000,64.171063,0.000324
LCB_max,6.000000,65.883071,2.479650
improvement,2.100000,63.629539,0.159694
SAA,2.830000,63.642847,12.220533
mixed,1.960000,63.610655,2.972458
