算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,3.590000,50.517634,0.000027
cluster,4.970000,51.660112,0.000348
LCB_max,6.000000,54.596141,2.387037
improvement,3.170000,50.389474,0.165675
SAA,1.700000,50.194175,12.666624
mixed,1.570000,50.188006,3.097321
