算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,4.720000,64.902563,0.000025
cluster,3.370000,64.530316,0.000282
LCB_max,5.980000,66.442203,0.800652
improvement,2.240000,64.458516,0.027977
SAA,2.150000,64.433115,3.943883
mixed,2.540000,64.431362,0.869837
