smallest,cluster,LCB_max,improvement,SAA,mixed
60.852661,58.510291,58.556490,58.609153,57.898136,57.937757
53.488460,51.532181,51.293247,52.649654,50.901332,51.139870
52.604840,51.087935,51.284840,50.881705,50.454385,50.609647
57.998588,58.255103,57.191449,56.933313,56.582296,56.556580
54.912428,53.459510,53.401535,52.934922,52.141363,52.343340
56.428212,54.457389,54.245791,53.765991,53.490009,53.663657
57.710696,56.484057,56.976819,56.334053,56.077633,56.086114
60.845002,59.552974,59.004180,58.943797,58.294947,58.320444
61.768437,59.688779,59.909274,60.192130,59.405192,59.728867
54.716828,53.562195,52.937558,53.577191,52.505027,52.774373
56.042877,54.867820,54.499870,55.533650,54.255055,54.257506
57.668770,54.411840,54.325884,54.432455,53.837510,54.253344
53.172806,51.630828,51.388358,50.733789,50.311987,50.518101
57.873497,56.327576,56.317200,56.929232,55.851727,56.167095
53.370107,53.893857,52.939312,52.467696,52.380413,52.372094
57.451457,56.340565,55.908190,56.768837,55.315835,55.632608
53.723979,53.692891,52.817892,52.679015,52.531013,52.610830
55.702139,54.790783,54.356055,53.618392,53.117808,53.292287
60.051980,57.423834,57.595372,57.690065,56.568191,57.101596
57.643652,55.800473,56.283176,55.574371,55.214124,55.186885
58.287056,57.313986,57.172994,57.089992,56.531771,56.591759
57.973783,54.843373,54.996727,54.950685,54.192122,54.546970
64.576271,62.614717,62.178505,62.127733,61.102133,61.676372
57.545930,56.323547,55.799310,56.083067,54.937235,55.251680
61.038986,59.161698,59.110869,59.210864,58.743190,58.805690
61.982005,59.394741,59.412723,60.244475,58.743242,59.736463
57.883349,57.128362,56.593866,56.559055,56.014977,55.992131
55.571673,54.790501,54.226620,54.180879,53.623987,53.691331
58.456405,54.870809,54.588528,54.804709,54.180085,54.315397
57.361957,55.529548,55.307884,55.925715,54.948077,55.090387
