算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,5.750000,68.599959,0.000026
cluster,4.060000,66.970837,0.000332
LCB_max,5.130000,67.868257,1.601738
improvement,2.590000,66.439135,0.075206
SAA,1.790000,66.348565,7.688974
mixed,1.680000,66.343133,1.774847
