算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,5.740000,68.759254,0.000052
cluster,3.540000,67.244551,0.000427
LCB_max,5.140000,68.137890,1.178675
improvement,2.860000,67.082033,0.038602
SAA,1.890000,66.942827,5.702370
mixed,1.830000,66.947232,1.247616
