算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,3.780000,52.630880,0.000025
cluster,4.880000,53.525543,0.000328
LCB_max,5.980000,56.080551,1.519013
improvement,3.030000,52.415651,0.076352
SAA,1.630000,52.145339,7.808298
mixed,1.700000,52.139484,1.794801
