算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,4.000000,50.238990,0.000109
cluster,5.000000,51.016907,0.001437
improvement,3.000000,49.580530,0.504761
SAA,2.000000,49.555591,42.312354
CTO_mult,1.000000,49.348732,1.600471
