Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
smallest,1,103,31_30_2_1_32_3_0_29,53.979526
smallest,1,104,31_30_2_1_32_3_0_29,54.001167
smallest,1,105,31_30_2_1_32_3_0_44,54.023527
smallest,1,106,31_2_30_1_32_3_0_49,54.036870
smallest,1,107,31_30_2_1_32_3_0_39,54.061299
smallest,1,108,31_30_2_1_32_3_0_15,54.040319
smallest,1,109,31_30_2_1_32_3_15_0,54.042536
smallest,1,110,31_30_2_1_32_3_0_29,53.974054
smallest,1,111,31_30_2_1_32_3_0_29,53.980909
smallest,1,112,31_30_2_1_32_3_0_29,53.999300
smallest,1,113,31_30_2_1_32_3_0_49,54.033757
smallest,1,114,31_30_2_1_32_3_0_29,53.995120
smallest,1,115,31_30_2_1_32_3_0_14,54.027003
smallest,1,116,31_30_2_1_32_3_0_29,53.958588
smallest,1,117,31_30_2_1_32_3_0_29,53.976507
smallest,1,118,31_30_2_1_32_3_0_29,53.991176
smallest,1,119,31_30_2_1_32_3_0_29,53.975244
smallest,1,120,31_30_2_1_32_3_0_29,53.964136
smallest,1,121,31_30_2_1_32_3_0_29,53.981997
smallest,1,122,31_30_2_1_32_3_0_29,53.978575
smallest,1,123,31_30_2_1_32_3_0_29,53.981734
smallest,1,124,31_30_2_1_32_3_0_29,53.991144
smallest,1,125,31_30_2_1_32_3_0_29,53.981672
smallest,1,126,31_30_2_1_32_3_0_29,53.989755
smallest,1,127,31_30_2_1_32_3_0_29,53.984668
smallest,1,128,31_30_2_1_32_0_3_29,53.970857
smallest,1,129,31_30_2_1_32_0_3_29,53.967276
smallest,1,130,31_30_2_1_32_0_3_29,53.994653
smallest,1,131,31_30_2_1_32_3_0_29,53.980676
smallest,1,132,31_30_2_32_1_3_0_29,53.973785
smallest,1,133,31_30_2_32_1_3_0_29,53.993339
smallest,1,134,31_30_2_32_1_3_0_29,53.970256
smallest,1,135,31_30_2_32_1_3_0_5,54.008463
smallest,1,136,31_30_2_32_1_3_0_4,53.917551
smallest,1,137,31_30_2_32_1_3_0_4,53.910137
smallest,1,138,31_30_2_32_1_3_0_4,53.927636
smallest,1,139,31_30_2_32_1_3_0_4,53.934536
smallest,1,140,31_30_2_32_1_3_0_4,53.920678
smallest,1,141,31_30_2_32_1_3_0_4,53.921751
smallest,1,142,31_30_2_32_1_3_0_4,53.912498
smallest,1,143,31_30_2_32_1_3_0_4,53.912429
smallest,1,144,31_30_2_32_1_3_0_34,53.607841
smallest,1,145,31_30_2_32_1_3_0_4,53.911896
smallest,1,146,31_30_2_32_1_3_0_4,53.899515
smallest,1,147,31_30_32_2_1_3_0_8,53.998763
smallest,1,148,31_30_32_2_1_6_3_7,54.139265
smallest,1,149,31_30_32_2_1_3_8_0,54.011949
smallest,1,150,31_30_32_2_1_9_3_0,54.039059
smallest,2,8,24_23_25_26_22_27_21_28,62.081191
smallest,2,9,0_1_49_2_3_4_5_48,55.241393
smallest,2,10,36_37_35_38_10_9_32_33,56.440896
smallest,2,11,17_35_34_18_16_36_31_33,55.824103
smallest,2,12,8_35_34_11_7_36_37_33,56.258883
smallest,2,13,35_34_12_10_33_32_36_11,55.290380
smallest,2,14,30_6_34_35_40_33_32_8,54.895335
smallest,2,15,34_35_33_36_9_32_31_37,55.017827
smallest,2,16,34_33_35_32_31_36_29_0,54.696262
smallest,2,17,34_33_35_32_1_0_2_36,53.769325
smallest,2,18,34_33_35_32_9_7_8_31,55.024437
smallest,2,19,34_33_32_35_30_31_36_10,54.466777
smallest,2,20,34_35_33_36_3_17_37_32,55.072280
smallest,2,21,34_33_1_2_35_0_6_49,54.237967
smallest,2,22,4_47_3_34_33_5_2_7,55.013871
smallest,2,23,34_35_33_0_1_38_36_12,54.771793
smallest,2,24,34_0_33_35_1_9_32_16,54.264558
smallest,2,25,15_34_33_16_0_35_19_17,56.195629
smallest,2,26,34_35_33_18_36_32_37_17,55.507128
smallest,2,27,34_35_33_36_32_11_8_10,55.413690
smallest,2,28,34_35_33_36_32_30_16_31,54.478138
smallest,2,29,34_35_33_41_0_36_49_39,55.733033
smallest,2,30,34_33_35_0_38_1_2_32,53.796612
smallest,2,31,33_34_32_35_3_2_31_1,53.476854
smallest,2,32,33_34_32_31_35_4_2_3,53.857839
smallest,2,33,33_32_3_34_4_2_31_5,54.320342
smallest,2,34,33_32_31_3_34_2_4_30,53.625218
smallest,2,35,33_32_34_31_3_2_1_4,53.776874
smallest,2,36,33_32_3_2_34_31_4_5,54.283672
smallest,2,37,33_32_34_2_3_31_1_6,53.917557
smallest,2,38,33_32_2_34_3_1_31_30,53.254249
smallest,2,39,33_32_2_3_34_31_1_29,53.814128
smallest,2,40,33_32_2_34_3_31_1_4,53.759059
smallest,2,41,32_33_2_34_31_3_1_30,53.274984
smallest,2,42,32_33_31_34_2_3_1_30,53.235422
smallest,2,43,32_33_31_34_2_3_30_35,53.471499
smallest,2,44,32_33_31_34_2_30_3_42,53.747278
smallest,2,45,32_33_31_34_2_3_30_4,53.639818
smallest,2,46,32_33_31_34_30_2_29_14,53.964861
smallest,2,47,32_33_31_34_30_2_3_49,53.728700
smallest,2,48,32_33_31_34_30_2_3_29,53.688563
smallest,2,49,32_33_31_34_2_3_6_7,54.420823
smallest,2,50,32_33_31_34_2_35_3_1,53.481411
smallest,2,51,32_33_31_34_30_2_35_3,53.471658
smallest,2,52,32_33_31_34_2_3_30_35,53.489313
smallest,2,53,32_33_31_34_2_3_1_4,53.764481
smallest,2,54,32_33_31_34_2_1_3_0,53.542287
smallest,2,55,32_33_31_34_2_3_4_1,53.759767
smallest,2,56,32_33_31_34_2_3_1_4,53.767215
smallest,2,57,32_33_31_34_3_2_5_4,54.280142
smallest,2,58,32_33_31_34_3_2_4_5,54.260368
