Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
independent,1,5,11_14_32_31_10_13_7_30_3_9_2_34_1_8_33_12,53.038956
independent,1,6,15_12_31_7_2_45_19_18_1_28_11_3_33_30_17_16,53.728999
independent,1,7,43_49_32_45_1_5_31_47_2_34_11_4_12_3_30_33,52.953310
independent,1,8,3_4_46_9_2_45_6_35_30_1_47_7_34_12_11_33,53.198494
independent,1,9,5_32_28_4_36_7_35_1_12_3_11_31_30_2_34_33,52.722096
independent,1,10,5_7_4_44_43_12_45_3_32_11_1_20_2_31_30_33,53.264129
independent,1,11,30_5_7_11_43_0_32_3_12_34_4_45_31_1_2_33,52.810246
independent,1,12,47_5_43_7_11_12_34_3_33_45_4_32_1_31_2_30,52.920553
independent,1,13,8_5_0_45_2_3_12_7_4_30_11_32_34_31_1_33,52.814101
independent,1,14,5_45_0_7_17_3_11_12_30_4_32_34_31_2_1_33,52.815276
independent,1,15,9_43_45_2_32_4_30_7_12_31_11_0_34_3_1_33,52.836809
independent,1,16,45_9_43_4_2_3_7_11_31_12_0_32_34_30_1_33,52.817721
independent,1,17,4_9_8_27_12_7_11_0_32_31_34_30_3_2_1_33,52.806502
independent,1,18,4_12_0_11_25_29_27_33_32_34_31_28_3_30_2_1,52.809990
independent,1,19,3_4_29_32_2_28_27_43_12_11_0_31_34_30_33_1,52.785326
independent,1,20,35_28_31_45_2_7_12_11_33_4_32_0_34_3_30_1,52.632766
independent,1,21,1_17_12_18_11_4_7_2_0_28_31_32_34_3_30_33,52.782333
independent,1,22,43_15_4_17_16_7_28_32_31_0_34_3_30_2_1_33,52.881903
independent,1,23,14_16_11_12_7_4_32_28_31_0_34_30_3_2_33_1,52.808827
independent,1,24,18_11_35_4_28_17_7_32_31_34_0_30_3_33_2_1,52.679897
independent,1,25,20_34_0_32_11_12_28_35_4_7_31_2_30_3_33_1,52.659117
independent,1,26,5_28_12_35_1_4_11_7_32_0_31_34_30_3_33_2,52.628849
independent,1,27,31_3_2_29_12_33_35_7_11_32_0_4_28_34_30_1,52.664485
independent,1,28,29_28_0_12_7_11_4_35_32_31_1_34_30_3_2_33,52.629885
