Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
smallest,1,5,48_37_36_9_27_20_43_5_46_26_38_7_1_34_24_0,51.281791
smallest,1,6,14_34_15_21_43_35_38_5_41_6_27_26_9_23_28_2,50.706911
smallest,1,7,34_38_14_21_24_43_5_41_8_36_27_20_32_30_2_28,50.955057
smallest,1,8,38_34_14_21_5_36_24_43_37_41_27_26_25_48_32_2,51.013667
smallest,1,9,38_5_34_14_41_21_8_43_28_26_30_27_9_36_1_49,50.533580
smallest,1,10,38_5_34_41_14_8_43_26_28_21_30_27_7_46_36_37,50.757617
smallest,1,11,38_5_34_14_43_26_41_8_21_28_27_30_7_18_0_37,50.657257
smallest,1,12,38_34_5_14_43_41_26_21_8_27_28_48_20_17_24_32,50.749204
smallest,1,13,38_5_34_14_41_43_26_8_36_30_21_9_37_28_18_27,50.770876
smallest,1,14,38_5_34_14_41_26_43_21_8_46_7_36_28_37_30_0,50.781306
smallest,1,15,38_5_34_14_41_26_43_21_39_8_48_49_7_27_28_30,50.722516
smallest,1,16,38_5_34_14_41_26_43_21_46_8_7_36_24_17_32_27,50.917346
smallest,1,17,38_5_34_14_26_41_43_21_8_7_46_48_27_28_36_30,50.746057
smallest,1,18,38_5_34_14_26_41_43_21_8_48_27_28_32_30_37_16,50.704473
smallest,1,19,5_38_34_26_14_41_43_21_17_16_27_9_13_8_28_36,50.628586
smallest,1,20,5_38_34_26_14_43_21_41_17_27_16_36_32_8_24_37,50.929217
smallest,1,21,5_38_34_26_14_43_41_21_27_24_8_17_20_36_7_32,50.896694
smallest,1,22,5_38_26_34_14_43_21_41_27_24_36_8_28_32_30_18,50.774661
smallest,1,23,5_38_26_34_14_43_21_27_41_7_8_24_17_30_22_28,50.746134
smallest,1,24,5_26_38_34_43_14_21_27_41_8_24_28_30_18_49_23,50.719257
smallest,1,25,5_38_26_34_14_43_21_27_1_41_20_28_8_24_32_36,50.568908
smallest,1,26,5_38_26_34_14_21_43_41_27_28_8_32_24_0_13_36,50.547521
smallest,1,27,5_38_26_34_14_41_43_21_28_27_8_24_36_13_32_2,50.502139
smallest,1,28,5_38_26_34_41_14_43_21_28_27_8_24_13_32_46_2,50.516723
smallest,1,29,5_38_26_34_41_14_43_21_28_13_8_0_32_27_7_46,50.527510
smallest,1,30,5_38_26_34_41_14_43_21_13_19_27_28_24_32_8_7,50.539918
smallest,1,31,5_38_34_26_41_14_43_21_13_28_27_8_24_32_0_2,50.409127
smallest,1,32,5_38_34_26_41_14_43_13_21_28_8_27_24_32_7_46,50.558274
smallest,1,33,5_38_34_26_41_14_43_13_21_32_28_8_0_27_24_33,50.201915
smallest,1,34,5_38_26_34_41_14_43_21_13_44_28_32_8_24_0_27,50.536392
smallest,1,35,5_38_26_34_41_14_43_21_28_13_32_8_24_2_27_12,50.258069
smallest,1,36,5_38_26_34_41_14_43_21_13_28_8_32_19_16_24_11,50.579802
smallest,1,37,5_38_34_26_41_14_43_13_21_33_28_19_8_11_44_17,50.340106
smallest,1,38,5_38_34_26_41_14_43_33_13_21_11_19_44_22_28_8,50.361745
smallest,1,39,5_38_34_26_41_14_43_13_21_33_11_19_28_23_44_8,50.285056
smallest,1,40,5_38_34_26_41_14_43_13_21_33_11_19_44_28_17_42,50.464299
smallest,1,41,5_38_26_34_41_14_43_13_23_21_33_22_11_24_44_40,50.599222
smallest,1,42,5_38_26_34_41_14_43_13_23_21_47_33_22_24_44_27,50.511852
smallest,1,43,5_38_26_34_41_14_43_13_21_47_22_44_33_23_24_27,50.497971
smallest,1,44,5_38_26_34_41_14_43_13_21_27_24_22_47_23_44_1,50.620242
smallest,1,45,5_38_26_34_41_43_14_13_21_22_27_44_47_24_33_25,50.609910
smallest,1,46,5_38_26_34_41_43_14_13_21_27_22_44_33_24_39_47,50.613374
smallest,1,47,5_38_26_34_41_43_14_21_13_27_24_33_28_44_8_36,50.307031
smallest,1,48,5_38_26_34_41_43_14_21_13_27_23_36_28_33_17_24,50.349828
