Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cyclic,1,8,40_17_19_43_6_18_20_42,57.355799
cyclic,1,9,34_35_45_43_5_0_44_46,55.568034
cyclic,1,10,32_13_28_29_14_30_41_39,55.252125
cyclic,1,11,7_43_4_38_41_42_40_47,56.418975
cyclic,1,12,46_42_12_43_11_41_33_0,55.819468
cyclic,1,13,49_26_3_43_40_15_42_41,56.496734
cyclic,1,14,5_22_43_42_40_41_1_16,56.236627
cyclic,1,15,2_4_41_5_42_14_25_44,55.756883
cyclic,1,16,21_5_3_23_6_44_39_27,56.139749
cyclic,1,17,29_30_26_5_27_16_45_2,55.182223
cyclic,1,18,4_10_0_44_43_5_6_46,55.602196
cyclic,1,19,24_2_7_40_5_14_13_3,55.301522
cyclic,1,20,0_7_42_24_26_5_8_41,55.729870
cyclic,1,21,6_9_25_30_8_39_32_0,55.320117
cyclic,1,22,32_17_0_42_24_6_26_8,55.278513
cyclic,1,23,23_40_28_29_26_13_14_0,55.732819
cyclic,1,24,28_29_17_30_22_31_25_14,55.433494
cyclic,1,25,16_1_43_0_26_2_15_12,55.994208
cyclic,1,26,37_26_2_43_3_41_46_36,55.695645
cyclic,1,27,0_38_39_11_25_2_10_27,55.944210
cyclic,1,28,40_39_5_47_3_36_38_37,55.943496
cyclic,1,29,5_26_39_42_38_3_2_22,55.435253
cyclic,1,30,26_29_27_5_39_1_46_2,55.199854
cyclic,1,31,38_46_40_6_42_1_35_2,55.480862
cyclic,1,32,27_21_45_47_3_43_2_5,55.431872
cyclic,1,33,3_39_42_40_5_2_24_23,55.502163
cyclic,1,34,2_39_40_24_3_12_5_43,55.417057
cyclic,1,35,20_36_2_5_39_18_3_43,55.359828
cyclic,1,36,26_0_2_40_29_17_43_5,54.855509
cyclic,1,37,42_2_19_4_3_39_7_5,55.465122
cyclic,1,38,42_41_46_40_39_3_5_2,55.301477
cyclic,1,39,5_3_40_19_20_42_2_39,55.464942
